,feature,scores,pvalues,support
1243,ICD_Dx_56722,262.9664605250206,2.4160021733373935e-57,True
2218,ICD_Dx_99859,285.03842884733643,7.5574086013807925e-62,True
4513,ICD_Dx_K651,584.320077382157,1.0985197262292204e-120,True
4655,ICD_Dx_K9189,256.5151091752973,5.062814929892041e-56,True
6588,ICD_Dx_T814XXA,859.2983662843957,1.9774981788696466e-171,True
7959,LAB_26515-7_amax,429.4415160286783,9.664222549714215e-91,True
8276,MED_Analgesics_Other,275.7788170758661,5.824081561957048e-60,True
8501,MED_Low_Molecular_Weight_Heparins,358.22468427019504,1.2943927979900292e-76,True
8555,MED_Opioid_Agonists,281.28341645131917,4.395696077622476e-61,True
8595,MED_Radiographic_Contrast_Media__Iodinated,486.8337420133382,5.853562266423322e-102,True
