,feature,scores,pvalues,support
8,CCS_Dx_Acute_posthemorrhagic_anemia,97.8025800871999,8.375909289822545e-23,True
14,CCS_Dx_Allergic_reactions,99.7028051690781,3.28284681326908e-23,True
23,CCS_Dx_Bacterial_infection_unspecified_site,99.68545181250218,3.311038785152119e-23,True
64,CCS_Dx_Complications_of_surgical_procedures_or_medical_care,573.2394011000316,1.4094703116977962e-118,True
80,CCS_Dx_Diseases_of_white_blood_cells,160.4408824119938,4.362688523457176e-36,True
106,CCS_Dx_Fever_of_unknown_origin,211.46941692983427,9.767804783688964e-47,True
107,CCS_Dx_Fluid_and_electrolyte_disorders,150.4499460014451,5.522648860474393e-34,True
137,CCS_Dx_Intestinal_obstruction_without_hernia,157.79907747293962,1.5671173707717146e-35,True
193,CCS_Dx_Other_gastrointestinal_disorders,161.96275813049562,2.089376330192095e-36,True
219,CCS_Dx_Peritonitis_and_intestinal_abscess,724.9115300524575,5.328295750341168e-147,True
228,CCS_Dx_Postoperative_Infection,1511.1182808027768,4.1952925975710775e-281,True
242,CCS_Dx_Septicemia_except_in_labor,182.86320035930416,8.756136768623239e-41,True
244,CCS_Dx_Shock,107.04514608908059,8.84910892969601e-25,True
246,CCS_Dx_Skin_and_subcutaneous_tissue_infections,295.46017475716184,5.751549003301437e-64,True
262,CCS_Dx_Wound_Disruption,199.94928288748034,2.4077938190507293e-44,True
327,LAB_20570-8_amin,143.41002518387566,1.6869621178945893e-32,True
342,LAB_26508-2_amax,122.35420105013422,4.8597364104296185e-28,True
419,LAB_LG10990-6_amin,165.7025426523886,3.42670192022821e-37,True
423,LAB_LG11363-5_amin,195.9188894979067,1.6599838753512852e-43,True
450,LAB_LG13614-9_amax,108.98555221923644,3.4102602979959745e-25,True
462,LAB_LG32846-4_amax,185.75377572306581,2.1817095247747306e-41,True
471,LAB_LG32850-6_amin,131.61003564507973,5.2828502453642144e-30,True
478,LAB_LG32857-1_amax,169.1770364090208,6.399562206462627e-38,True
486,LAB_LG32885-2_amax,155.99652238087367,3.7519682322207996e-35,True
488,LAB_LG32892-8_mean,192.18738996284844,9.9356100926412e-43,True
489,LAB_LG32892-8_median,163.71741276656095,8.94416061342846e-37,True
490,LAB_LG32892-8_amax,459.7998384211284,1.0794381539710507e-96,True
534,LAB_LG4454-7_amax,92.90746896056936,9.378903356889008e-22,True
535,LAB_LG44868-4_amin,137.17963030714864,3.497856700472185e-31,True
583,LAB_LG5465-2_amin,187.07873559904124,1.1542943155672967e-41,True
584,LAB_LG5465-2_mean,176.07948981788064,2.2934648791515314e-39,True
585,LAB_LG5465-2_median,184.53979291899026,3.9102526192432087e-41,True
586,LAB_LG5465-2_amax,124.20383710944087,1.9667612290715139e-28,True
619,LAB_LG6373-7_amin,214.56343906937485,2.2316293811126903e-47,True
647,LAB_LG7247-2_amin,100.59965913813646,2.110336775822479e-23,True
715,MED_ANALGESICS__NonNarcotic,361.4883968726407,2.8808864804108513e-77,True
716,MED_ANALGESICS__OPIOID,367.5481207869151,1.7753419808323662e-78,True
722,MED_ANTIANXIETY_AGENTS,98.37935898608585,6.30279402004395e-23,True
725,MED_ANTICOAGULANTS,426.9169456010127,3.0338115311555066e-90,True
727,MED_ANTIDEPRESSANTS,139.61622215353756,1.0680327911203296e-31,True
728,MED_ANTIDIABETICS,95.83263242696941,2.21318342539272e-22,True
731,MED_ANTIEMETICS,360.9194187315751,3.743264035310451e-77,True
746,MED_BETA_BLOCKERS,111.8948380297705,8.173068898279467e-26,True
756,MED_DIAGNOSTIC_PRODUCTS,501.20641970515345,9.569393794135902e-105,True
759,MED_DIURETICS,129.64720754283695,1.3767460960067383e-29,True
770,MED_HYPNOTICS,201.20370498927105,1.3207738164661475e-44,True
776,MED_MINERALS__ELECTROLYTES,211.24025132667438,1.089700821113382e-46,True
777,MED_MOUTHTHROATDENTAL_AGENTS,110.16819875352584,1.9077423911228688e-25,True
781,MED_NEUROMUSCULAR_AGENTS,137.19890731735825,3.4651693147158634e-31,True
794,MED_ULCER_DRUGS,395.4465119410632,5.005809714396421e-84,True
