,feature,scores,pvalues,support
14,ICD_Dx_0389,130.85151451198996,7.648818011402295e-30,True
17,ICD_Dx_04104,34.06882625906578,5.737271055597868e-09,True
23,ICD_Dx_0413,41.28196546643915,1.4706925995412195e-10,True
24,ICD_Dx_04149,29.413011931891138,6.190508203535762e-08,True
52,ICD_Dx_07989,37.9811974270161,7.841803250615518e-10,True
56,ICD_Dx_1120,34.068826259065744,5.737271055597868e-09,True
105,ICD_Dx_1542,18.89704896615119,1.4136227546542393e-05,True
152,ICD_Dx_17352,18.89704896615119,1.4136227546542393e-05,True
182,ICD_Dx_1889,18.89704896615119,1.4136227546542393e-05,True
303,ICD_Dx_2299,18.89704896615116,1.4136227546542393e-05,True
323,ICD_Dx_23871,41.019774437140704,1.6795434330330307e-10,True
357,ICD_Dx_25011,18.897048966151157,1.4136227546542393e-05,True
373,ICD_Dx_25073,18.897048966151157,1.4136227546542393e-05,True
380,ICD_Dx_2512,33.478659045793684,7.751077553742827e-09,True
382,ICD_Dx_2519,18.897048966151182,1.4136227546542393e-05,True
405,ICD_Dx_261,35.53699112000551,2.7164416880145366e-09,True
406,ICD_Dx_262,37.91405519944128,8.113769331273525e-10,True
407,ICD_Dx_2630,30.60080461718445,3.370266216168235e-08,True
410,ICD_Dx_2639,55.715109626139565,1.0202666632176836e-13,True
442,ICD_Dx_2752,20.01870019953142,7.879871791922891e-06,True
448,ICD_Dx_2760,26.271635276058397,3.1048905821316325e-07,True
449,ICD_Dx_2761,29.565052624816865,5.726699108744463e-08,True
450,ICD_Dx_2762,51.03550014448389,1.0709633635132133e-12,True
455,ICD_Dx_27652,25.852907317166082,3.851487436368807e-07,True
457,ICD_Dx_27669,51.58652873935046,8.11710724593197e-13,True
460,ICD_Dx_2769,63.83716167483655,1.748010005603708e-15,True
465,ICD_Dx_27800,21.33967579323725,3.966680088297212e-06,True
489,ICD_Dx_2849,18.89704896615116,1.4136227546542393e-05,True
491,ICD_Dx_2851,27.063899147018294,2.0660415804409768e-07,True
497,ICD_Dx_2859,43.143396147147264,5.733592512596266e-11,True
509,ICD_Dx_2875,25.952270373842847,3.6594545976649653e-07,True
514,ICD_Dx_28860,69.35695914052808,1.112143957697386e-16,True
518,ICD_Dx_2889,18.897048966151196,1.4136227546542393e-05,True
523,ICD_Dx_28959,58.417844276251365,2.6313964147621986e-14,True
614,ICD_Dx_3079,22.68824512272681,1.9721579549220535e-06,True
654,ICD_Dx_33818,42.174643581988605,9.359717882162982e-11,True
655,ICD_Dx_33819,39.635513020058305,3.387341898091735e-10,True
684,ICD_Dx_34671,18.897048966151168,1.4136227546542393e-05,True
689,ICD_Dx_34830,43.11339566883234,5.821242404858623e-11,True
690,ICD_Dx_34831,34.06882625906523,5.737271055599009e-09,True
760,ICD_Dx_36840,18.897048966151168,1.4136227546542393e-05,True
781,ICD_Dx_37851,18.897048966151168,1.4136227546542393e-05,True
785,ICD_Dx_37941,18.897048966151164,1.4136227546542393e-05,True
786,ICD_Dx_37943,18.897048966151168,1.4136227546542393e-05,True
998,ICD_Dx_45385,18.897048966151182,1.4136227546542393e-05,True
1024,ICD_Dx_4589,83.14674246388591,1.1736548394041826e-19,True
1053,ICD_Dx_4820,37.981197427016426,7.84180325061407e-10,True
1075,ICD_Dx_5069,18.897048966151196,1.4136227546542393e-05,True
1078,ICD_Dx_5109,19.076642758104907,1.2872050093296332e-05,True
1082,ICD_Dx_5119,29.401525871119937,6.227040256906892e-08,True
1092,ICD_Dx_5180,55.04135311754798,1.430731652319851e-13,True
1095,ICD_Dx_51851,44.77908720966993,2.5084326452972632e-11,True
1097,ICD_Dx_51881,39.96276201073908,2.869479130572967e-10,True
1106,ICD_Dx_5199,37.98119742701662,7.84180325061407e-10,True
1110,ICD_Dx_52460,18.897048966151168,1.4136227546542393e-05,True
1154,ICD_Dx_5368,39.63662654947281,3.3854298323747086e-10,True
1216,ICD_Dx_5601,44.0505670411704,3.624571653924539e-11,True
1220,ICD_Dx_56081,46.72402173776851,9.397899157809475e-12,True
1222,ICD_Dx_5609,33.01329403864166,9.827537271107774e-09,True
